date,county,daily_cases
2020-05-19,McHenry,31
2020-05-20,McHenry,27
2020-05-21,McHenry,41
2020-05-22,McHenry,37
2020-05-23,McHenry,39
2020-05-24,McHenry,28
2020-05-25,McHenry,25
2020-03-16,Lake,1
2020-03-17,Lake,11
2020-03-18,Lake,19
2020-03-19,Lake,15
2020-03-20,Lake,11
2020-03-21,Lake,6
2020-03-22,Lake,27
2020-03-23,Lake,15
2020-03-24,Lake,28
2020-03-25,Lake,46
2020-03-26,Lake,45
2020-03-27,Lake,34
2020-03-28,Lake,36
2020-03-29,Lake,43
2020-03-30,Lake,46
2020-03-31,Lake,88
2020-04-01,Lake,63
2020-04-02,Lake,68
2020-04-03,Lake,81
2020-04-04,Lake,53
2020-04-05,Lake,73
2020-04-06,Lake,110
2020-04-07,Lake,116
2020-04-08,Lake,83
2020-04-09,Lake,106
2020-04-10,Lake,101
2020-04-11,Lake,114
2020-04-12,Lake,71
2020-04-13,Lake,105
2020-04-14,Lake,90
2020-04-15,Lake,56
2020-04-16,Lake,147
2020-04-17,Lake,159
2020-04-18,Lake,89
2020-04-19,Lake,54
2020-04-20,Lake,71
2020-04-21,Lake,92
2020-04-22,Lake,161
2020-04-23,Lake,177
2020-04-24,Lake,162
2020-04-25,Lake,111
2020-04-26,Lake,90
2020-04-27,Lake,112
2020-04-28,Lake,190
2020-04-29,Lake,127
2020-04-30,Lake,257
2020-05-01,Lake,209
2020-05-02,Lake,186
2020-05-03,Lake,91
2020-05-04,Lake,118
2020-05-05,Lake,159
2020-05-06,Lake,233
2020-05-07,Lake,223
2020-05-08,Lake,214
2020-05-09,Lake,46
2020-05-10,Lake,78
2020-05-11,Lake,339
2020-05-12,Lake,96
2020-05-13,Lake,234
2020-05-14,Lake,165
2020-05-15,Lake,225
2020-05-16,Lake,107
2020-05-17,Lake,156
2020-05-18,Lake,64
2020-05-19,Lake,196
2020-05-20,Lake,223
2020-05-21,Lake,163
2020-05-22,Lake,174
2020-05-23,Lake,150
2020-05-24,Lake,108
2020-05-25,Lake,44
2020-03-16,Cumberland,0
2020-03-17,Cumberland,0
2020-03-18,Cumberland,0
2020-03-19,Cumberland,0
2020-03-20,Cumberland,0
2020-03-21,Cumberland,0
2020-03-22,Cumberland,0
2020-03-23,Cumberland,0
2020-03-24,Cumberland,0
2020-03-25,Cumberland,0
2020-03-26,Cumberland,0
2020-03-27,Cumberland,0
2020-03-28,Cumberland,0
2020-03-29,Cumberland,0
2020-03-30,Cumberland,0
2020-03-31,Cumberland,0
2020-04-01,Cumberland,0
2020-04-02,Cumberland,0
2020-04-03,Cumberland,0
2020-04-04,Cumberland,0
2020-04-05,Cumberland,0
2020-04-06,Cumberland,0
2020-04-07,Cumberland,0
2020-04-08,Cumberland,1
2020-04-09,Cumberland,0
2020-04-10,Cumberland,0
2020-04-11,Cumberland,0
2020-04-12,Cumberland,0
2020-04-13,Cumberland,0
2020-04-14,Cumberland,0
2020-04-15,Cumberland,0
2020-04-16,Cumberland,0
2020-04-17,Cumberland,0
2020-04-18,Cumberland,0
2020-04-19,Cumberland,0
2020-04-20,Cumberland,0
