date,county,daily_cases
2020-05-31,Cumberland,0
2020-06-01,Cumberland,0
2020-06-02,Cumberland,0
2020-06-03,Cumberland,0
2020-06-04,Cumberland,0
2020-06-05,Cumberland,0
2020-06-06,Cumberland,0
2020-06-07,Cumberland,0
2020-06-08,Cumberland,0
2020-06-09,Cumberland,0
2020-06-10,Cumberland,1
2020-06-11,Cumberland,1
2020-06-12,Cumberland,1
2020-06-13,Cumberland,1
2020-06-14,Cumberland,1
2020-06-15,Cumberland,1
2020-06-16,Cumberland,1
2020-06-17,Cumberland,1
2020-06-18,Cumberland,1
2020-06-19,Cumberland,1
2020-06-20,Cumberland,1
2020-06-21,Cumberland,1
2020-06-22,Cumberland,1
2020-06-23,Cumberland,1
2020-06-24,Cumberland,2
2020-06-25,Cumberland,2
2020-06-26,Cumberland,2
2020-06-27,Cumberland,2
2020-06-28,Cumberland,2
2020-06-29,Cumberland,2
2020-06-30,Cumberland,2
2020-07-01,Cumberland,2
2020-07-02,Cumberland,2
2020-07-03,Cumberland,3
2020-07-04,Cumberland,3
2020-07-05,Cumberland,3
2020-07-06,Cumberland,3
2020-07-07,Cumberland,3
2020-07-08,Cumberland,3
2020-07-09,Cumberland,4
2020-07-10,Cumberland,4
2020-07-11,Cumberland,4
2020-07-12,Cumberland,4
2020-07-13,Cumberland,5
2020-07-14,Cumberland,5
2020-05-26,DuPage,184
2020-05-27,DuPage,184
2020-05-28,DuPage,183
2020-05-29,DuPage,183
2020-05-30,DuPage,182
2020-05-31,DuPage,182
2020-06-01,DuPage,181
2020-06-02,DuPage,180
2020-06-03,DuPage,180
2020-06-04,DuPage,179
2020-06-05,DuPage,178
2020-06-06,DuPage,176
2020-06-07,DuPage,175
2020-06-08,DuPage,174
2020-06-09,DuPage,173
2020-06-10,DuPage,171
2020-06-11,DuPage,170
2020-06-12,DuPage,168
2020-06-13,DuPage,167
2020-06-14,DuPage,165
2020-06-15,DuPage,163
2020-06-16,DuPage,162
2020-06-17,DuPage,160
2020-06-18,DuPage,158
2020-06-19,DuPage,156
2020-06-20,DuPage,154
2020-06-21,DuPage,152
2020-06-22,DuPage,150
2020-06-23,DuPage,148
2020-06-24,DuPage,146
2020-06-25,DuPage,144
2020-06-26,DuPage,142
2020-06-27,DuPage,140
2020-06-28,DuPage,138
2020-06-29,DuPage,136
2020-06-30,DuPage,134
2020-07-01,DuPage,132
2020-07-02,DuPage,130
2020-07-03,DuPage,128
2020-07-04,DuPage,126
2020-07-05,DuPage,124
2020-07-06,DuPage,122
2020-07-07,DuPage,120
2020-07-08,DuPage,118
2020-07-09,DuPage,116
2020-07-10,DuPage,114
2020-07-11,DuPage,112
2020-07-12,DuPage,110
2020-07-13,DuPage,108
2020-07-14,DuPage,106
2020-05-26,Sangamon,14
2020-05-27,Sangamon,15
2020-05-28,Sangamon,15
2020-05-29,Sangamon,16
2020-05-30,Sangamon,17
2020-05-31,Sangamon,17
2020-06-01,Sangamon,18
2020-06-02,Sangamon,18
2020-06-03,Sangamon,19
2020-06-04,Sangamon,20
2020-06-05,Sangamon,20
2020-06-06,Sangamon,21
2020-06-07,Sangamon,22
2020-06-08,Sangamon,22
2020-06-09,Sangamon,23
2020-06-10,Sangamon,24
2020-06-11,Sangamon,25
2020-06-12,Sangamon,25
2020-06-13,Sangamon,26
2020-06-14,Sangamon,27
2020-06-15,Sangamon,28
2020-06-16,Sangamon,29
2020-06-17,Sangamon,30
2020-06-18,Sangamon,31
2020-06-19,Sangamon,31
2020-06-20,Sangamon,32
2020-06-21,Sangamon,33
2020-06-22,Sangamon,34
2020-06-23,Sangamon,35
2020-06-24,Sangamon,36
2020-06-25,Sangamon,37
2020-06-26,Sangamon,38
2020-06-27,Sangamon,39
2020-06-28,Sangamon,40
2020-06-29,Sangamon,41
2020-06-30,Sangamon,42
2020-07-01,Sangamon,44
2020-07-02,Sangamon,45
2020-07-03,Sangamon,46
2020-07-04,Sangamon,47
2020-07-05,Sangamon,48
2020-07-06,Sangamon,49
2020-07-07,Sangamon,50
2020-07-08,Sangamon,52
2020-07-09,Sangamon,53
2020-07-10,Sangamon,54
2020-07-11,Sangamon,55
2020-07-12,Sangamon,57
2020-07-13,Sangamon,58
2020-07-14,Sangamon,59
2020-05-26,St. Clair,49
2020-05-27,St. Clair,50
2020-05-28,St. Clair,52
2020-05-29,St. Clair,53
2020-05-30,St. Clair,55
2020-05-31,St. Clair,57
2020-06-01,St. Clair,58
2020-06-02,St. Clair,60
2020-06-03,St. Clair,61
2020-06-04,St. Clair,63
2020-06-05,St. Clair,65
2020-06-06,St. Clair,67
2020-06-07,St. Clair,68
2020-06-08,St. Clair,70
2020-06-09,St. Clair,72
2020-06-10,St. Clair,74
2020-06-11,St. Clair,75
2020-06-12,St. Clair,77
2020-06-13,St. Clair,79
2020-06-14,St. Clair,81
2020-06-15,St. Clair,82
2020-06-16,St. Clair,84
2020-06-17,St. Clair,86
2020-06-18,St. Clair,88
2020-06-19,St. Clair,90
2020-06-20,St. Clair,91
2020-06-21,St. Clair,93
2020-06-22,St. Clair,95
2020-06-23,St. Clair,97
2020-06-24,St. Clair,99
2020-06-25,St. Clair,100
2020-06-26,St. Clair,102
2020-06-27,St. Clair,104
2020-06-28,St. Clair,106
2020-06-29,St. Clair,108
2020-06-30,St. Clair,109
2020-07-01,St. Clair,111
2020-07-02,St. Clair,113
2020-07-03,St. Clair,115
2020-07-04,St. Clair,116
2020-07-05,St. Clair,118
2020-07-06,St. Clair,120
2020-07-07,St. Clair,121
2020-07-08,St. Clair,123
2020-07-09,St. Clair,125
2020-07-10,St. Clair,126
2020-07-11,St. Clair,128
2020-07-12,St. Clair,130
2020-07-13,St. Clair,131
2020-07-14,St. Clair,133
2020-05-26,Woodford,0
2020-05-27,Woodford,0
2020-05-28,Woodford,0
2020-05-29,Woodford,0
2020-05-30,Woodford,0
2020-05-31,Woodford,0
2020-06-01,Woodford,0
2020-06-02,Woodford,0
2020-06-03,Woodford,0
2020-06-04,Woodford,0
2020-06-05,Woodford,0
2020-06-06,Woodford,0
2020-06-07,Woodford,0
2020-06-08,Woodford,0
2020-06-09,Woodford,0
2020-06-10,Woodford,0
2020-06-11,Woodford,0
2020-06-12,Woodford,0
2020-06-13,Woodford,0
2020-06-14,Woodford,0
2020-06-15,Woodford,0
2020-06-16,Woodford,0
2020-06-17,Woodford,0
2020-06-18,Woodford,0
2020-06-19,Woodford,0
2020-06-20,Woodford,0
2020-06-21,Woodford,0
2020-06-22,Woodford,0
2020-06-23,Woodford,0
2020-06-24,Woodford,0
2020-06-25,Woodford,0
2020-06-26,Woodford,0
2020-06-27,Woodford,0
2020-06-28,Woodford,0
2020-06-29,Woodford,0
2020-06-30,Woodford,0
2020-07-01,Woodford,0
2020-07-02,Woodford,0
2020-07-03,Woodford,0
2020-07-04,Woodford,0
2020-07-05,Woodford,0
2020-07-06,Woodford,0
2020-07-07,Woodford,0
2020-07-08,Woodford,0
2020-07-09,Woodford,0
2020-07-10,Woodford,0
2020-07-11,Woodford,0
2020-07-12,Woodford,0
2020-07-13,Woodford,0
2020-07-14,Woodford,0
2020-05-26,Clinton,7
2020-05-27,Clinton,7
2020-05-28,Clinton,8
2020-05-29,Clinton,8
2020-05-30,Clinton,8
2020-05-31,Clinton,8
2020-06-01,Clinton,9
2020-06-02,Clinton,9
2020-06-03,Clinton,9
2020-06-04,Clinton,9
2020-06-05,Clinton,10
2020-06-06,Clinton,10
2020-06-07,Clinton,10
2020-06-08,Clinton,10
2020-06-09,Clinton,11
2020-06-10,Clinton,11
2020-06-11,Clinton,11
2020-06-12,Clinton,11
2020-06-13,Clinton,12
2020-06-14,Clinton,12
2020-06-15,Clinton,12
2020-06-16,Clinton,13
2020-06-17,Clinton,13
2020-06-18,Clinton,13
2020-06-19,Clinton,14
2020-06-20,Clinton,14
2020-06-21,Clinton,14
2020-06-22,Clinton,14
2020-06-23,Clinton,15
2020-06-24,Clinton,15
2020-06-25,Clinton,15
2020-06-26,Clinton,16
2020-06-27,Clinton,16
2020-06-28,Clinton,16
2020-06-29,Clinton,17
2020-06-30,Clinton,17
2020-07-01,Clinton,17
2020-07-02,Clinton,18
2020-07-03,Clinton,18
2020-07-04,Clinton,18
2020-07-05,Clinton,18
2020-07-06,Clinton,19
2020-07-07,Clinton,19
2020-07-08,Clinton,19
2020-07-09,Clinton,20
2020-07-10,Clinton,20
2020-07-11,Clinton,20
2020-07-12,Clinton,21
2020-07-13,Clinton,21
2020-07-14,Clinton,21
2020-05-26,Whiteside,5
2020-05-27,Whiteside,6
2020-05-28,Whiteside,6
2020-05-29,Whiteside,6
2020-05-30,Whiteside,6
2020-05-31,Whiteside,6
2020-06-01,Whiteside,7
2020-06-02,Whiteside,7
2020-06-03,Whiteside,7
2020-06-04,Whiteside,7
2020-06-05,Whiteside,8
2020-06-06,Whiteside,8
2020-06-07,Whiteside,8
2020-06-08,Whiteside,8
2020-06-09,Whiteside,9
2020-06-10,Whiteside,9
2020-06-11,Whiteside,9
2020-06-12,Whiteside,9
2020-06-13,Whiteside,10
2020-06-14,Whiteside,10
2020-06-15,Whiteside,10
2020-06-16,Whiteside,10
2020-06-17,Whiteside,11
2020-06-18,Whiteside,11
2020-06-19,Whiteside,11
2020-06-20,Whiteside,12
2020-06-21,Whiteside,12
2020-06-22,Whiteside,12
2020-06-23,Whiteside,13
2020-06-24,Whiteside,13
2020-06-25,Whiteside,13
2020-06-26,Whiteside,14
2020-06-27,Whiteside,14
2020-06-28,Whiteside,14
2020-06-29,Whiteside,15
2020-06-30,Whiteside,15
2020-07-01,Whiteside,15
2020-07-02,Whiteside,16
2020-07-03,Whiteside,16
2020-07-04,Whiteside,16
2020-07-05,Whiteside,17
2020-07-06,Whiteside,17
2020-07-07,Whiteside,17
2020-07-08,Whiteside,18
2020-07-09,Whiteside,18
2020-07-10,Whiteside,18
2020-07-11,Whiteside,19
2020-07-12,Whiteside,19
2020-07-13,Whiteside,20
2020-07-14,Whiteside,20
2020-05-26,Winnebago,125
2020-05-27,Winnebago,132
2020-05-28,Winnebago,139
2020-05-29,Winnebago,146
2020-05-30,Winnebago,154
2020-05-31,Winnebago,162
2020-06-01,Winnebago,170
2020-06-02,Winnebago,178
2020-06-03,Winnebago,187
2020-06-04,Winnebago,196
2020-06-05,Winnebago,205
2020-06-06,Winnebago,215
2020-06-07,Winnebago,225
2020-06-08,Winnebago,235
2020-06-09,Winnebago,246
2020-06-10,Winnebago,257
2020-06-11,Winnebago,269
2020-06-12,Winnebago,281
2020-06-13,Winnebago,293
2020-06-14,Winnebago,306
2020-06-15,Winnebago,319
2020-06-16,Winnebago,332
2020-06-17,Winnebago,346
2020-06-18,Winnebago,360
2020-06-19,Winnebago,375
2020-06-20,Winnebago,390
2020-06-21,Winnebago,405
2020-06-22,Winnebago,421
2020-06-23,Winnebago,437
2020-06-24,Winnebago,454
2020-06-25,Winnebago,471
2020-06-26,Winnebago,489
2020-06-27,Winnebago,507
2020-06-28,Winnebago,525
2020-06-29,Winnebago,544
2020-06-30,Winnebago,564
2020-07-01,Winnebago,584
2020-07-02,Winnebago,604
2020-07-03,Winnebago,625
2020-07-04,Winnebago,646
2020-07-05,Winnebago,667
2020-07-06,Winnebago,689
2020-07-07,Winnebago,712
2020-07-08,Winnebago,735
2020-07-09,Winnebago,758
2020-07-10,Winnebago,782
2020-07-11,Winnebago,806
2020-07-12,Winnebago,831
2020-07-13,Winnebago,856
2020-07-14,Winnebago,882
2020-05-26,Peoria,7
2020-05-27,Peoria,7
2020-05-28,Peoria,7
2020-05-29,Peoria,7
2020-05-30,Peoria,7
2020-05-31,Peoria,7
2020-06-01,Peoria,8
2020-06-02,Peoria,8
2020-06-03,Peoria,8
2020-06-04,Peoria,8
2020-06-05,Peoria,8
2020-06-06,Peoria,9
2020-06-07,Peoria,9
2020-06-08,Peoria,9
2020-06-09,Peoria,9
2020-06-10,Peoria,9
2020-06-11,Peoria,10
2020-06-12,Peoria,10
2020-06-13,Peoria,10
2020-06-14,Peoria,10
2020-06-15,Peoria,10
2020-06-16,Peoria,10
2020-06-17,Peoria,11
2020-06-18,Peoria,11
2020-06-19,Peoria,11
2020-06-20,Peoria,11
2020-06-21,Peoria,11
2020-06-22,Peoria,11
2020-06-23,Peoria,12
2020-06-24,Peoria,12
2020-06-25,Peoria,12
2020-06-26,Peoria,12
2020-06-27,Peoria,12
2020-06-28,Peoria,12
2020-06-29,Peoria,13
2020-06-30,Peoria,13
2020-07-01,Peoria,13
2020-07-02,Peoria,13
2020-07-03,Peoria,13
2020-07-04,Peoria,13
2020-07-05,Peoria,14
2020-07-06,Peoria,14
2020-07-07,Peoria,14
2020-07-08,Peoria,14
2020-07-09,Peoria,14
2020-07-10,Peoria,14
2020-07-11,Peoria,14
2020-07-12,Peoria,14
2020-07-13,Peoria,15
2020-07-14,Peoria,15
2020-05-26,Will,152
2020-05-27,Will,153
2020-05-28,Will,153
2020-05-29,Will,153
2020-05-30,Will,153
2020-05-31,Will,153
2020-06-01,Will,153
2020-06-02,Will,153
2020-06-03,Will,153
2020-06-04,Will,153
2020-06-05,Will,152
2020-06-06,Will,152
2020-06-07,Will,151
2020-06-08,Will,150
2020-06-09,Will,150
2020-06-10,Will,149
2020-06-11,Will,148
2020-06-12,Will,147
2020-06-13,Will,146
2020-06-14,Will,145
2020-06-15,Will,144
2020-06-16,Will,142
2020-06-17,Will,141
2020-06-18,Will,140
2020-06-19,Will,139
2020-06-20,Will,137
2020-06-21,Will,136
2020-06-22,Will,134
2020-06-23,Will,133
2020-06-24,Will,131
2020-06-25,Will,130
2020-06-26,Will,128
2020-06-27,Will,126
2020-06-28,Will,125
2020-06-29,Will,123
2020-06-30,Will,121
2020-07-01,Will,120
2020-07-02,Will,118
2020-07-03,Will,116
2020-07-04,Will,115
2020-07-05,Will,113
2020-07-06,Will,111
2020-07-07,Will,110
2020-07-08,Will,108
2020-07-09,Will,106
2020-07-10,Will,104
2020-07-11,Will,103
2020-07-12,Will,101
2020-07-13,Will,99
2020-07-14,Will,98
2020-05-24,Jackson,12
2020-05-25,Jackson,12
2020-05-26,Jackson,13
2020-05-27,Jackson,14
2020-05-28,Jackson,14
2020-05-29,Jackson,15
2020-05-30,Jackson,15
2020-05-31,Jackson,16
2020-06-01,Jackson,17
2020-06-02,Jackson,17
2020-06-03,Jackson,18
2020-06-04,Jackson,19
2020-06-05,Jackson,20
2020-06-06,Jackson,21
2020-06-07,Jackson,21
2020-06-08,Jackson,22
2020-06-09,Jackson,23
